Genotype,Condition,Odor,Response.time,Experimenter,Date,,,
cest-2.1,4mM TA,30pct,3.68,TB,2021-12-09,,,
cest-2.1,4mM TA,30pct,3.19,TB,2021-12-09,,,
cest-2.1,4mM TA,30pct,2.54,TB,2021-12-09,,,
cest-2.1,4mM TA,30pct,2.8,TB,2021-12-09,,,
cest-2.1,4mM TA,30pct,4.35,TB,2021-12-09,,,
cest-2.1,4mM TA,30pct,3.39,TB,2021-12-09,,,
cest-2.1,4mM TA,30pct,2.88,TB,2021-12-09,,,
cest-2.1,4mM TA,30pct,3.92,TB,2021-12-09,,,
cest-2.1,4mM TA,30pct,4.21,TB,2021-12-09,,,
cest-2.1,4mM TA,30pct,1.93,TB,2021-12-09,,,
cest-2.1,4mM TA,30pct,3.08,TB,2021-12-09,,,
cest-2.1,4mM TA,30pct,2.55,TB,2021-12-09,,,
N2,control,30pct,5.19,TB,2022-01-19,,,
N2,control,30pct,6.68,TB,2022-01-19,,,
N2,control,30pct,4.7,TB,2022-01-19,,,
N2,control,30pct,7.28,TB,2022-01-19,,,
N2,control,30pct,5.8,TB,2022-01-19,,,
N2,control,30pct,6.45,TB,2022-01-19,,,
N2,control,30pct,5.13,TB,2022-01-19,,,
N2,control,30pct,4.18,TB,2022-01-19,,,
N2,control,30pct,6.54,TB,2022-01-19,,,
N2,control,30pct,7.21,TB,2022-01-19,,,
N2,control,30pct,6.95,TB,2022-01-19,,,
N2,control,30pct,4.49,TB,2022-01-19,,,
N2,control,30pct,3.26,TB,2022-01-19,,,
N2,control,30pct,5.01,TB,2022-01-19,,,
N2,control,30pct,3.86,TB,2022-01-19,,,
N2,control,30pct,4.09,TB,2022-01-19,,,
N2,control,30pct,2.89,TB,2022-01-19,,,
N2,control,30pct,4.33,TB,2022-01-19,,,
cest-2.1,control,30pct,3.22,TB,2022-01-19,,,
cest-2.1,control,30pct,3.26,TB,2022-01-19,,,
cest-2.1,control,30pct,4.59,TB,2022-01-19,,,
cest-2.1,control,30pct,2.67,TB,2022-01-19,,,
cest-2.1,control,30pct,5.7,TB,2022-01-19,,,
cest-2.1,control,30pct,6.23,TB,2022-01-19,,,
cest-2.1,control,30pct,4.48,TB,2022-01-19,,,
